id,name,reason
uan2-8hmm,"(Deprecation Warning) Meter Inventory",not-in-target-categories
kkr3-wq7h,"[Archived] COVID-19 Deaths by Population Characteristics Over Time",archived/deprecated|not-in-target-categories
wppz-u2hi,"100-Year Storm Flood Elevations (December 2024)",not-in-target-categories
9fsf-4rq2,"2023 Asia-Pacific Economic Cooperation (""APEC"") Street Closure Map",type:href
e44i-375r,"Active Coordinate Application Projects Map",not-in-target-categories
5hmg-qyif,"Active Coordinate Applications projects in construction phase map",not-in-target-categories
t65d-x6p8,"Air Pollutant Exposure Zone",not-in-target-categories
u397-j8nr,"Air Traffic Cargo Statistics",not-in-target-categories
qxw2-ncq3,"Aircraft Noise Climates",not-in-target-categories
tiju-qyvs,"Aircraft Noise Exceedances",not-in-target-categories
peaa-dyr3,"Aircraft Noise Reports",not-in-target-categories
6x9q-izga,"Ambulance Patient Offload Times",not-in-target-categories
r33y-seqv,"Annual Park Evaluation Scores (FY15-now)",not-in-target-categories
tpyr-dvnc,"ARCHIVED: COVID-19 Cases and Deaths Summarized by Geography",archived/deprecated|not-in-target-categories
tef6-3vsw,"ARCHIVED: COVID-19 Cases and Deaths Summarized by ZIP Code Tabulation Area",archived/deprecated|not-in-target-categories
d2ef-idww,"ARCHIVED: COVID-19 Cases by Geography Over Time",archived/deprecated
j7i3-u9ke,"ARCHIVED: COVID-19 Cases by Population Characteristics Over Time",archived/deprecated|not-in-target-categories
nxjg-bhem,"ARCHIVED: COVID-19 Hospitalizations Over Time",archived/deprecated|not-in-target-categories
qhc5-mubk,"ARCHIVED: COVID-19 Testing by Geography Over Time",archived/deprecated
kja3-qsky,"ARCHIVED: COVID-19 Testing by Race/Ethnicity Over Time",archived/deprecated|not-in-target-categories
g8hh-rwgb,"ARCHIVED: COVID-19 Vaccinations Given to SF Residents by Demographics",archived/deprecated|not-in-target-categories
sej3-bbrc,"ARCHIVED: COVID-19 Vaccinations Given to SF Residents by Demographics Over Time",archived/deprecated|not-in-target-categories
ejrc-vnwu,"ARCHIVED: COVID-19 Vaccinations Given to SF Residents by Geography",archived/deprecated|not-in-target-categories
rutu-rpar,"ARCHIVED: COVID-19 Vaccinations Given to SF Residents Over Time",archived/deprecated|not-in-target-categories
k3hb-m3dm,"Arrival and Departure Routes",not-in-target-categories
ee6v-jtbt,"Article 11 Rating",not-in-target-categories
ejht-vp5d,"Article 11 Rating",not-in-target-categories
dhrh-xsqt,"Assets Maintained by the Recreation and Parks Department",not-in-target-categories
e3jj-mbb3,"Assets Maintained by the Recreation and Parks Department",not-in-target-categories
hnpy-adcr,"Auditing Firm Directory for Nonprofits",not-in-target-categories
d5uh-bk84,"Automated Speed Enforcement Citations",not-in-target-categories
s9wg-vcph,"Bay Area Counties",not-in-target-categories
wamw-vt4s,"Bay Area County Polygons",not-in-target-categories
4kz9-76pb,"Bay Area ZIP Codes",not-in-target-categories
u5j3-svi6,"Bay Area ZIP Codes",not-in-target-categories
ynuv-fyni,"Building Footprints",not-in-target-categories
5r64-4iqk,"California Register Historic Districts",global/irrelevant
m22e-6hkz,"California Register Historic Districts",global/irrelevant
nc68-ngbr,"City Facilities",not-in-target-categories
4nn2-tpfz,"City Facilities - Adult Probation Jurisdiction or Leased",not-in-target-categories
adrx-qrxk,"City Facilities - Arts Commission Jurisdiction or Leased",not-in-target-categories
p8jq-de2x,"City Facilities - Asian Art Museum Jurisdiction or Leased",not-in-target-categories
w24m-ky2t,"City Facilities - Assessor-Recorder Jurisdiction or Leased",not-in-target-categories
crpm-4ehf,"City Facilities - Board of Appeals Jurisdiction or Leased",not-in-target-categories
ixwn-dndr,"City Facilities - Building Inspection Jurisdiction or Leased",not-in-target-categories
rww3-arqy,"City Facilities - Child Support Services Jurisdiction or Leased",not-in-target-categories
irk9-3vfb,"City Facilities - City College Jurisdiction or Leased",not-in-target-categories
y8f5-yuwh,"City Facilities - Civil Service Commission Jurisdiction or Leased",not-in-target-categories
4y2r-h7gm,"City Facilities - Controller Jurisdiction or Leased",not-in-target-categories
nmef-fwfi,"City Facilities - Environment Jurisdiction or Leased",not-in-target-categories
i2zr-ntnx,"City Facilities - Fine Arts Museums Jurisdiction or Leased",not-in-target-categories
hqai-jssw,"City Facilities - GSA - Animal Care and Control Jurisdiction or Leased",not-in-target-categories
spyu-fejr,"City Facilities - GSA - City Administrator's Office Jurisdiction or Leased",not-in-target-categories
qtyf-b3xq,"City Facilities - GSA - Medical Examiner Jurisdiction or Leased",not-in-target-categories
icdz-tqs7,"City Facilities - Health Service System Jurisdiction or Leased",not-in-target-categories
gisu-qgr3,"City Facilities - Human Resources Jurisdiction or Leased",not-in-target-categories
duby-dyjv,"City Facilities - Human Rights Commission Jurisdiction or Leased",not-in-target-categories
4z8e-gnzt,"City Facilities - Human Services Agency Jurisdiction or Leased",not-in-target-categories
52bf-deu2,"City Facilities - Juvenile Probation Jurisdiction or Leased",not-in-target-categories
rq3a-jamn,"City Facilities - Law Library Jurisdiction or Leased",not-in-target-categories
rfvu-7mcd,"City Facilities - Mayor Jurisdiction or Leased",not-in-target-categories
g349-aw44,"City Facilities - Port Jurisdiction or Leased",not-in-target-categories
fmmd-hxvf,"City Facilities - Public Defender Jurisdiction or Leased",not-in-target-categories
mefm-p49z,"City Facilities - Public Health Jurisdiction or Leased",not-in-target-categories
fhhu-wqa7,"City Facilities - Public Library Jurisdiction or Leased",not-in-target-categories
kpse-iywg,"City Facilities - Public Utilities Commission Jurisdiction or Leased",not-in-target-categories
d6rj-6ccc,"City Facilities - Real Estate Division Jurisdiction or Leased",not-in-target-categories
2mqz-ak5w,"City Facilities - Recreation and Parks Jurisdiction or Leased",not-in-target-categories
yhws-u2xv,"City Facilities - Retirement System Jurisdiction or Leased",not-in-target-categories
t7gs-vjea,"City Facilities - Sheriff Jurisdiction or Leased",not-in-target-categories
kne7-smmq,"City Facilities - Status of Women Jurisdiction or Leased",not-in-target-categories
dfh5-eeky,"City Facilities - Superior Court Jurisdiction or Leased",not-in-target-categories
xm78-fxvg,"City Facilities - Technology Jurisdiction or Leased",not-in-target-categories
38ha-sn5f,"City Facilities - Treasure Island Development Authority Jurisdiction or Leased",not-in-target-categories
srpk-ydkf,"City Facilities - War Memorial Jurisdiction or Leased",not-in-target-categories
gtnh-hgvs,"City Lands",not-in-target-categories
3v2z-djjd,"Citywide Nonprofit Monitoring and Capacity Building Program FY24 Annual Report",not-in-target-categories
swzz-arm4,"Civic Art Collection w/ Parks Property Overlay",not-in-target-categories
eb2x-6eay,"Clearance Heights - Bridges and Underpasses",not-in-target-categories
aeam-6mb5,"Coastal Zone Area",not-in-target-categories
v4ev-mbum,"Coastal Zone Area",not-in-target-categories
nyek-jaw8,"Code Enforcement",not-in-target-categories
hnxa-ebrb,"Commuter Shuttle Stops",not-in-target-categories
g9zy-srvv,"Continental Crosswalks",not-in-target-categories
5jer-gq3v,"Count of Automated Speed Enforcement Citations and Warnings",not-in-target-categories
a5da-x8ji,"Count of Individuals Stopped by Reason for Stop by month, July 2018 to latest",not-in-target-categories
8ar7-det4,"Count of Red Light Camera Citations by Intersection",not-in-target-categories
kv9m-37qh,"COVID-19 Deaths by Population Characteristics",not-in-target-categories
g2di-xufg,"COVID-19 Deaths Over Time",not-in-target-categories
82gu-asz5,"COVID-19 Hospital Admissions Over Time",not-in-target-categories
mr6h-cr3u,"Covid-19 Pit Stops",not-in-target-categories
nfpa-mg4g,"COVID-19 Testing Over Time",not-in-target-categories
ujya-ewdj,"Crossing Guard Intersections",not-in-target-categories
cubx-fb3q,"Dataset Inventory: Column-Level Details",not-in-target-categories
6d73-6c4f,"Elevation Contours",not-in-target-categories
rnbg-2qxw,"Elevation Contours",not-in-target-categories
86e8-rfem,"Entertainment Commission's Places of Entertainment",not-in-target-categories
4ua7-5sfx,"Existing Buildings - Benchmark Reports",not-in-target-categories
96ck-qcfe,"Existing Buildings Energy Performance Ordinance Report",not-in-target-categories
m288-24sn,"Former San Francisco Redevelopment Agency Project Areas",not-in-target-categories
tw7y-qxhr,"Former San Francisco Redevelopment Agency Project Areas",not-in-target-categories
38b7-6db3,"Functional Areas maintained by Recreation and Parks Department",not-in-target-categories
um6s-kmkw,"Functional areas maintained by the Recreation and Parks Department",not-in-target-categories
